ID_Processo;Data_Registro;Data_Desembaraco;Importador;Exportador;NCM;Descricao_Mercadoria;Pais_Origem;Modal_Transporte;Porto_Entrada;Valor_Mercadoria_USD;Valor_Frete_USD;Valor_Seguro_USD;Taxa_Cambio;Valor_Aduaneiro_BRL;II_Valor_BRL;IPI_Valor_BRL;PIS_Valor_BRL;COFINS_Valor_BRL;Canal_Parametrizacao
202400012;2024-05-29;2024-06-03;Monteiro;Nascimento Sampaio e Filhos Exporters;84713019;Outros computadores portáteis (laptops);Japão;Marítimo;Fronteira de Foz do Iguaçu (PR);101991.73;5857.05;945.56;5.1843;564022.50;72584.04;37552.24;11844.47;54428.17;Verde
202400013;2024-03-04;2024-03-19;Abreu;Souza - EI Exporters;85171231;Celulares smartphones;Japão;Marítimo;Fronteira de Foz do Iguaçu (PR);83670.82;9770.68;1613.68;5.0208;477253.05;61465.55;57051.07;10022.31;46054.92;Verde
202400014;2024-07-19;2024-08-02;Novaes;Porto Exporters;30049099;Outros medicamentos;China;Marítimo;Aeroporto de Guarulhos (SP);108019.59;11225.84;1326.95;5.3260;642168.50;106642.63;44437.34;13485.54;61969.26;Verde
202400015;2024-06-20;2024-06-22;Sá Ltda.;Jesus Exporters;90189099;Outros instrumentos e aparelhos para medicina;China;Aéreo;Porto de Itajaí (SC);146174.46;8215.90;1187.89;5.4189;843062.98;97228.11;61294.08;17704.32;81355.58;Amarelo
202400016;2025-02-03;2025-02-14;Almeida;Brito Azevedo - EI Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Índia;Marítimo;Aeroporto de Guarulhos (SP);119786.67;11366.58;646.61;5.1526;679111.96;85487.70;63344.72;14261.35;65534.30;Verde
202400017;2024-09-27;2024-10-10;Freitas Garcia - ME;Fogaça Exporters;30049099;Outros medicamentos;Alemanha;Marítimo;Aeroporto do Galeão (RJ);96223.11;5560.06;1217.56;4.9029;505002.28;90443.73;52166.23;10605.05;48732.72;Amarelo
202400018;2025-03-01;2025-03-07;Rodrigues Cavalcante - EI;Borges Exporters;62044200;Vestidos de algodão;Estados Unidos;Rodoviário;Porto de Itajaí (SC);148453.85;15937.91;1789.27;5.2609;874261.78;155628.82;68751.85;18359.50;84366.26;Verde
202400019;2025-02-21;2025-02-24;da Rocha;Correia Ltda. Exporters;62044200;Vestidos de algodão;Estados Unidos;Rodoviário;Fronteira de Foz do Iguaçu (PR);15084.27;1482.60;194.89;5.1085;85627.45;9511.57;8394.30;1798.18;8263.05;Verde
202400020;2024-08-17;2024-08-31;Brito - ME;Casa Grande S.A. Exporters;30049099;Outros medicamentos;Alemanha;Aéreo;Aeroporto do Galeão (RJ);135083.23;11511.36;919.55;4.9568;731198.09;76903.56;53202.44;15355.16;70560.62;Verde
202400021;2024-08-24;2024-09-04;Teixeira e Filhos;Sá Ltda. Exporters;30049099;Outros medicamentos;Coreia do Sul;Marítimo;Porto de Itajaí (SC);93706.95;6508.54;1821.46;5.4529;556397.28;69848.23;45672.87;11684.34;53692.34;Verde
202400022;2025-01-31;2025-02-13;Camargo Cirino S.A.;Carvalho - EI Exporters;84713019;Outros computadores portáteis (laptops);México;Aéreo;Porto de Santos (SP);124435.15;15523.69;1011.00;5.2553;740838.80;82413.28;69378.83;15557.61;71490.94;Verde
202400023;2024-07-06;2024-07-10;Duarte S.A.;Vargas Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;México;Rodoviário;Porto de Santos (SP);105515.95;7107.20;665.17;5.2932;599657.74;85036.70;71460.61;12592.81;57866.97;Verde
202400024;2024-10-31;2024-11-18;Montenegro da Costa - EI;Marques Exporters;90189099;Outros instrumentos e aparelhos para medicina;Coreia do Sul;Marítimo;Porto de Santos (SP);101121.36;7924.16;1660.78;5.0043;554007.54;85326.85;62464.00;11634.16;53461.73;Verde
202400025;2024-12-22;2024-12-26;Novaes;Santos Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Itália;Rodoviário;Porto de Paranaguá (PR);8016.72;688.91;89.66;5.1777;45539.37;6930.25;2366.42;956.33;4394.55;Verde
202400026;2024-12-29;2025-01-04;Ferreira Pacheco e Filhos;da Luz da Mota S.A. Exporters;30049099;Outros medicamentos;Estados Unidos;Aéreo;Porto de Itajaí (SC);33104.60;3049.15;657.21;4.8747;179442.39;20836.48;14198.81;3768.29;17316.19;Verde
202400027;2025-09-28;2025-10-14;da Mota;Sá Souza - EI Exporters;39269090;Outras obras de plástico;Alemanha;Aéreo;Porto de Paranaguá (PR);43651.58;5311.24;794.87;4.9737;247479.82;36888.26;19362.34;5197.08;23881.80;Verde
202400028;2024-06-03;2024-06-05;Farias;Novais Siqueira - EI Exporters;30049099;Outros medicamentos;Coreia do Sul;Rodoviário;Porto de Paranaguá (PR);43773.57;2206.07;838.48;5.1680;241956.04;32617.07;21272.25;5081.08;23348.76;Verde
202400029;2025-04-06;2025-04-18;Borges S/A;Pastor S.A. Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Índia;Aéreo;Porto de Paranaguá (PR);95987.64;5949.36;1806.95;5.1674;536086.49;65608.77;50689.74;11257.82;51732.35;Vermelho
202400030;2024-02-05;2024-02-15;Cirino Lopes S/A;da Mata Siqueira S/A Exporters;90189099;Outros instrumentos e aparelhos para medicina;China;Rodoviário;Porto de Itajaí (SC);9895.56;849.40;62.32;5.3431;57744.38;6994.38;6790.88;1212.63;5572.33;Verde
202400031;2024-03-07;2024-03-17;Camargo - EI;Mendes Exporters;39269090;Outras obras de plástico;México;Rodoviário;Aeroporto do Galeão (RJ);71803.73;4239.22;548.28;5.0916;389971.91;66224.68;30144.74;8189.41;37632.29;Verde
202400032;2025-09-17;2025-10-02;Costela;da Rosa e Filhos Exporters;90189099;Outros instrumentos e aparelhos para medicina;Estados Unidos;Rodoviário;Aeroporto do Galeão (RJ);15502.84;1614.09;134.97;5.3127;91654.17;11709.74;6311.96;1924.74;8844.63;Verde
202400033;2025-03-07;2025-03-26;Azevedo;Ramos Ltda. Exporters;62044200;Vestidos de algodão;Alemanha;Rodoviário;Fronteira de Foz do Iguaçu (PR);6802.09;656.86;96.62;5.2424;39609.32;6394.41;4399.74;831.80;3822.30;Verde
202400034;2025-01-04;2025-01-06;Porto Carvalho - ME;da Mata S/A Exporters;62044200;Vestidos de algodão;Japão;Marítimo;Porto de Santos (SP);120061.83;7890.99;1085.06;5.2156;673009.97;74358.10;69715.19;14133.21;64945.46;Verde
202400035;2023-12-13;2024-01-01;Silveira S/A;Borges Exporters;90189099;Outros instrumentos e aparelhos para medicina;Alemanha;Rodoviário;Porto de Paranaguá (PR);149752.41;8356.72;1412.40;5.0697;808726.30;98094.25;74032.08;16983.25;78042.09;Amarelo
202400036;2025-07-04;2025-07-16;Cunha - ME;Pereira Exporters;84713019;Outros computadores portáteis (laptops);Alemanha;Aéreo;Porto de Santos (SP);134469.60;14351.15;2033.84;5.0775;765964.18;82025.51;38311.39;16085.25;73915.54;Verde
202400037;2025-06-11;2025-06-28;Ribeiro;Mendes S.A. Exporters;87089990;Outras partes e acessórios para veículos;Estados Unidos;Marítimo;Aeroporto do Galeão (RJ);82657.97;6944.04;1246.73;5.0266;456660.28;51142.93;26253.04;9589.87;44067.72;Verde
202400038;2024-06-16;2024-06-22;Vieira Ltda.;Pacheco Exporters;90189099;Outros instrumentos e aparelhos para medicina;China;Aéreo;Porto de Santos (SP);10186.92;897.18;164.97;5.1983;58476.04;7258.47;4253.39;1228.00;5642.94;Verde
202400039;2024-07-10;2024-07-17;Brito e Filhos;Pacheco e Filhos Exporters;62044200;Vestidos de algodão;Alemanha;Marítimo;Aeroporto de Guarulhos (SP);120885.37;14232.31;824.58;5.1347;698022.72;124721.17;74224.66;14658.48;67359.19;Verde
202400040;2025-04-27;2025-05-04;Costela S/A;Carvalho Andrade - EI Exporters;62044200;Vestidos de algodão;China;Marítimo;Aeroporto do Galeão (RJ);145099.49;16021.44;783.27;5.4530;882863.60;118048.00;47533.76;18540.14;85196.34;Verde
202400041;2024-03-15;2024-03-20;Ribeiro Cavalcante S.A.;Monteiro Exporters;30049099;Outros medicamentos;Itália;Marítimo;Aeroporto de Guarulhos (SP);81104.12;4549.62;758.67;5.4334;469513.19;50755.14;55461.06;9859.78;45308.02;Amarelo
202400042;2024-06-16;2024-06-21;Moreira Fonseca Ltda.;Fonseca Dias S.A. Exporters;84713019;Outros computadores portáteis (laptops);Argentina;Rodoviário;Porto de Paranaguá (PR);113119.76;7252.86;806.02;5.4140;656061.16;82772.25;47300.70;13777.28;63309.90;Verde
202400043;2024-08-21;2024-09-09;Santos;Macedo Montenegro - EI Exporters;84713019;Outros computadores portáteis (laptops);Japão;Aéreo;Aeroporto de Guarulhos (SP);57377.02;7116.78;559.62;4.9848;324278.29;39890.88;16342.06;6809.84;31292.85;Verde
202400044;2024-10-02;2024-10-05;Borges Fogaça S.A.;Farias S.A. Exporters;87089990;Outras partes e acessórios para veículos;China;Aéreo;Porto de Santos (SP);2895.35;402.33;26.41;5.2865;17572.80;3159.09;1177.58;369.03;1695.78;Verde
202400045;2024-11-23;2024-11-25;Cavalcante;Borges Azevedo - EI Exporters;87089990;Outras partes e acessórios para veículos;México;Rodoviário;Aeroporto de Guarulhos (SP);77415.24;4063.09;1371.13;5.3087;439822.93;56156.36;40227.90;9236.28;42442.91;Verde
202400046;2024-08-31;2024-09-17;Cunha Nogueira e Filhos;Cirino Ltda. Exporters;39269090;Outras obras de plástico;China;Aéreo;Porto de Santos (SP);45587.68;6628.01;531.85;4.8260;254559.63;39340.36;26843.21;5345.75;24565.00;Verde
202400047;2025-07-13;2025-07-31;Castro Ltda.;Cunha Exporters;85171231;Celulares smartphones;Estados Unidos;Aéreo;Fronteira de Foz do Iguaçu (PR);67179.90;6084.35;440.39;5.0437;371744.09;49483.13;33720.93;7806.63;35873.30;Verde
202400048;2024-09-11;2024-09-16;Novais S/A;Porto Exporters;30049099;Outros medicamentos;Japão;Rodoviário;Porto de Santos (SP);107983.05;13832.69;1649.70;5.2859;652625.97;74729.12;70033.15;13705.15;62978.41;Verde
202400049;2024-04-10;2024-04-15;Machado;Cavalcante S.A. Exporters;30049099;Outros medicamentos;Argentina;Rodoviário;Porto de Itajaí (SC);86370.45;4399.78;1101.05;5.3401;490601.82;70513.08;44409.77;10302.64;47343.08;Amarelo
202400050;2025-04-07;2025-04-12;da Cruz;Jesus Aparecida e Filhos Exporters;39269090;Outras obras de plástico;Estados Unidos;Marítimo;Porto de Santos (SP);27162.98;3573.01;246.77;5.4782;169729.76;20752.48;13420.32;3564.32;16378.92;Verde
202400051;2025-07-12;2025-07-20;Siqueira;Teixeira Exporters;87089990;Outras partes e acessórios para veículos;Japão;Marítimo;Porto de Santos (SP);85331.58;12148.90;1536.94;5.4118;535862.47;91443.72;38946.24;11253.11;51710.73;Verde
202400052;2024-12-26;2025-01-13;Nascimento;Oliveira Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Itália;Aéreo;Fronteira de Foz do Iguaçu (PR);23302.18;1372.61;248.59;5.0434;125698.57;16255.08;8558.47;2639.67;12129.91;Verde
202400053;2025-02-20;2025-02-26;Borges;Vargas - EI Exporters;85171231;Celulares smartphones;México;Aéreo;Porto de Paranaguá (PR);84014.45;7497.52;1659.93;4.9281;459160.44;71504.76;34805.41;9642.37;44308.98;Verde
202400054;2024-07-15;2024-08-03;Cavalcante;Sá Exporters;30049099;Outros medicamentos;Itália;Rodoviário;Porto de Itajaí (SC);149041.25;9367.25;979.56;5.2707;840086.65;124533.98;87758.54;17641.82;81068.36;Verde
202400055;2023-10-18;2023-10-25;Barbosa;Casa Grande Vasconcelos - EI Exporters;85171231;Celulares smartphones;Alemanha;Rodoviário;Porto de Itajaí (SC);125755.44;7629.70;2235.95;5.2538;712526.08;108117.20;36445.79;14963.05;68758.77;Verde
202400056;2024-12-12;2024-12-21;Costa Rodrigues S.A.;Martins Costa S.A. Exporters;30049099;Outros medicamentos;Argentina;Rodoviário;Aeroporto do Galeão (RJ);26413.45;2051.92;211.30;5.1308;147134.26;17053.40;11316.92;3089.82;14198.46;Verde
202400057;2024-03-20;2024-03-25;Araújo e Filhos;Peixoto Jesus S.A. Exporters;39269090;Outras obras de plástico;China;Rodoviário;Fronteira de Foz do Iguaçu (PR);21653.28;2729.32;382.72;5.1772;128215.01;19355.35;7580.27;2692.52;12372.75;Verde
202400058;2023-11-26;2023-11-28;Freitas S/A;Cassiano Exporters;39269090;Outras obras de plástico;China;Aéreo;Porto de Itajaí (SC);51758.37;6402.64;410.34;5.2642;308331.30;51244.66;28816.39;6474.96;29753.97;Verde
202400059;2025-06-17;2025-07-04;Leão;Gomes - EI Exporters;84713019;Outros computadores portáteis (laptops);México;Rodoviário;Aeroporto de Guarulhos (SP);31858.63;3909.27;390.24;5.4951;198692.60;29991.43;22879.55;4172.54;19173.84;Verde
202400060;2025-06-16;2025-06-20;Cardoso Siqueira - ME;Machado - ME Exporters;87089990;Outras partes e acessórios para veículos;Itália;Aéreo;Porto de Paranaguá (PR);137286.28;19431.57;2250.29;5.4230;862084.22;102527.29;53590.18;18103.77;83191.13;Verde
202400061;2025-05-24;2025-06-09;Nascimento S/A;Abreu - EI Exporters;39269090;Outras obras de plástico;China;Aéreo;Aeroporto de Guarulhos (SP);138632.07;12558.89;2704.35;5.1122;786743.60;140217.46;41729.42;16521.62;75920.76;Verde
202400062;2024-08-24;2024-09-08;Cavalcante - ME;Silva Exporters;85171231;Celulares smartphones;Coreia do Sul;Rodoviário;Porto de Paranaguá (PR);134968.21;6804.47;1462.57;4.8609;696252.23;108249.69;69201.71;14621.30;67188.34;Amarelo
202400063;2025-01-03;2025-01-19;Novaes;Fernandes e Filhos Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Alemanha;Marítimo;Aeroporto do Galeão (RJ);56806.79;6837.73;975.80;5.2133;336885.11;57501.96;18687.69;7074.59;32509.41;Verde
202400064;2025-09-15;2025-09-18;Lopes Brito - EI;Moreira Exporters;62044200;Vestidos de algodão;Índia;Aéreo;Aeroporto de Guarulhos (SP);123284.71;16412.95;1967.65;5.2848;748672.83;94310.07;86053.28;15722.13;72246.93;Verde
202400065;2023-12-28;2024-01-12;Moreira Vargas e Filhos;Viana - ME Exporters;87089990;Outras partes e acessórios para veículos;México;Rodoviário;Fronteira de Foz do Iguaçu (PR);44905.52;4035.39;265.09;5.4306;267218.10;28005.59;15200.49;5611.58;25786.55;Verde
202400066;2024-11-22;2024-12-09;Correia;da Costa Almeida S.A. Exporters;90189099;Outros instrumentos e aparelhos para medicina;Estados Unidos;Marítimo;Porto de Paranaguá (PR);103469.72;13716.89;1622.74;5.4461;647047.60;73839.03;55232.08;13588.00;62440.09;Verde
202400067;2024-03-01;2024-03-07;Cardoso;Leão Exporters;87089990;Outras partes e acessórios para veículos;Itália;Rodoviário;Fronteira de Foz do Iguaçu (PR);119407.16;10292.77;1346.89;4.8626;637228.27;85101.59;71847.12;13381.79;61492.53;Vermelho
202400068;2025-04-27;2025-05-10;Pacheco;Rodrigues Exporters;39269090;Outras obras de plástico;Japão;Aéreo;Aeroporto do Galeão (RJ);144076.47;12465.41;1273.64;4.9102;774905.77;105397.87;68952.74;16273.02;74778.41;Amarelo
202400069;2024-04-18;2024-05-06;Araújo;Castro Exporters;62044200;Vestidos de algodão;Estados Unidos;Rodoviário;Porto de Paranaguá (PR);46299.73;6666.51;583.92;4.9425;264671.67;27110.33;24697.93;5558.10;25540.82;Verde
202400070;2025-01-19;2025-01-28;Sales;Lima Exporters;84713019;Outros computadores portáteis (laptops);Estados Unidos;Rodoviário;Aeroporto de Guarulhos (SP);24138.65;2688.39;387.66;5.4456;148200.37;20874.88;13103.53;3112.21;14301.34;Verde
202400071;2025-02-07;2025-02-23;Santos e Filhos;Monteiro Jesus - ME Exporters;84713019;Outros computadores portáteis (laptops);México;Rodoviário;Porto de Itajaí (SC);140604.51;7076.63;2794.72;5.4883;825856.66;95978.61;46070.65;17342.99;79695.17;Verde
202400072;2025-08-31;2025-09-14;Barros;Costa Almeida Ltda. Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Itália;Aéreo;Fronteira de Foz do Iguaçu (PR);54866.43;3731.21;737.55;5.0465;299435.04;44271.77;28650.87;6288.14;28895.48;Verde
202400073;2024-10-15;2024-10-17;Cunha;da Rocha Caldeira Ltda. Exporters;39269090;Outras obras de plástico;Coreia do Sul;Aéreo;Fronteira de Foz do Iguaçu (PR);140109.51;9902.97;2013.27;5.0196;763108.45;131708.59;57088.03;16025.28;73639.97;Verde
202400074;2023-11-17;2023-12-05;Lopes Sá e Filhos;Lopes - EI Exporters;39269090;Outras obras de plástico;Argentina;Aéreo;Fronteira de Foz do Iguaçu (PR);69720.19;5606.86;641.71;5.3720;408104.18;51015.79;20786.88;8570.19;39382.05;Verde
202400075;2023-12-10;2023-12-21;Montenegro;Vasconcelos Exporters;85171231;Celulares smartphones;Coreia do Sul;Marítimo;Fronteira de Foz do Iguaçu (PR);116392.88;8112.86;1033.18;4.9879;626175.58;98403.22;69095.54;13149.69;60425.94;Verde
202400076;2024-04-28;2024-05-02;Gomes Lima e Filhos;Vasconcelos Almeida S/A Exporters;84713019;Outros computadores portáteis (laptops);Argentina;Rodoviário;Fronteira de Foz do Iguaçu (PR);128895.49;16925.68;973.28;5.1961;762758.64;104499.74;38699.52;16017.93;73606.21;Verde
202400077;2024-06-27;2024-07-14;Mendes;Souza Aparecida e Filhos Exporters;84713019;Outros computadores portáteis (laptops);México;Rodoviário;Aeroporto de Guarulhos (SP);47053.66;4277.40;293.01;5.1857;267706.94;32192.40;30945.98;5621.85;25833.72;Verde
202400078;2024-06-18;2024-06-30;Porto;Fernandes Exporters;84713019;Outros computadores portáteis (laptops);Coreia do Sul;Aéreo;Porto de Itajaí (SC);46407.56;2783.90;826.20;5.2694;263563.06;28630.74;29262.28;5534.82;25433.84;Verde
202400079;2025-08-16;2025-08-26;Costa;Machado Exporters;90189099;Outros instrumentos e aparelhos para medicina;Estados Unidos;Rodoviário;Porto de Itajaí (SC);132899.43;11924.61;794.05;5.4301;790720.79;125053.62;50486.04;16605.14;76304.56;Amarelo
202400080;2024-02-24;2024-03-05;Gonçalves;Aragão Exporters;39269090;Outras obras de plástico;Japão;Rodoviário;Porto de Itajaí (SC);117333.29;15920.35;1919.00;5.3934;729040.12;118468.90;63005.15;15309.84;70352.37;Verde
202400081;2024-05-27;2024-06-11;Moreira;Pereira S.A. Exporters;62044200;Vestidos de algodão;Argentina;Aéreo;Aeroporto de Guarulhos (SP);11782.87;1745.11;179.06;5.0714;69513.88;11768.05;5722.34;1459.79;6708.09;Verde
202400082;2024-07-07;2024-07-13;Ribeiro;Caldeira Araújo - EI Exporters;30049099;Outros medicamentos;Coreia do Sul;Marítimo;Porto de Paranaguá (PR);87697.87;4717.94;566.99;4.8360;449664.82;57836.06;36649.79;9442.96;43392.66;Verde
202400083;2025-07-28;2025-08-02;Cavalcanti;Peixoto Exporters;87089990;Outras partes e acessórios para veículos;Coreia do Sul;Marítimo;Porto de Paranaguá (PR);29612.51;1829.92;301.21;4.9163;156061.26;25634.90;10774.56;3277.29;15059.91;Verde
202400084;2024-11-09;2024-11-12;Sampaio;Cavalcanti Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;China;Marítimo;Porto de Itajaí (SC);71478.39;8357.54;549.75;5.1753;416020.01;43274.31;45346.23;8736.42;40145.93;Amarelo
202400085;2025-07-30;2025-08-19;Siqueira - EI;Pastor Exporters;62044200;Vestidos de algodão;Estados Unidos;Aéreo;Porto de Paranaguá (PR);3663.90;509.23;63.73;4.9394;20927.55;2215.46;1932.61;439.48;2019.51;Verde
202400086;2025-07-23;2025-08-10;da Rosa S/A;Abreu Ribeiro e Filhos Exporters;87089990;Outras partes e acessórios para veículos;Índia;Marítimo;Aeroporto de Guarulhos (SP);56692.40;4334.36;523.93;5.3366;328471.41;50245.48;36990.75;6897.90;31697.49;Verde
202400087;2025-01-07;2025-01-13;Novaes e Filhos;Albuquerque Gonçalves Ltda. Exporters;84713019;Outros computadores portáteis (laptops);Argentina;Aéreo;Fronteira de Foz do Iguaçu (PR);111391.31;5586.80;1519.86;4.9108;581919.83;87593.01;45777.25;12220.32;56155.26;Verde
202400088;2025-07-20;2025-07-29;Borges Peixoto - EI;Gomes Exporters;30049099;Outros medicamentos;Estados Unidos;Marítimo;Porto de Itajaí (SC);104129.16;12479.92;1043.18;5.0726;596802.85;65974.86;35175.00;12532.86;57591.48;Verde
202400089;2024-02-23;2024-02-25;Alves S/A;Cavalcanti Exporters;62044200;Vestidos de algodão;Coreia do Sul;Rodoviário;Aeroporto de Guarulhos (SP);113766.22;10131.44;1089.59;5.2521;656445.54;70896.22;40588.13;13785.36;63346.99;Verde
202400090;2025-01-03;2025-01-05;Porto da Rosa - ME;Cirino Exporters;39269090;Outras obras de plástico;Itália;Marítimo;Porto de Paranaguá (PR);105038.64;15166.34;1322.82;5.3930;655399.43;109545.98;39553.67;13763.39;63246.04;Amarelo
202400091;2024-12-17;2024-12-23;Machado;da Mota Exporters;87089990;Outras partes e acessórios para veículos;Estados Unidos;Marítimo;Porto de Paranaguá (PR);36965.74;3744.28;693.83;4.8910;202506.23;28440.57;15975.09;4252.63;19541.85;Verde
202400092;2023-12-15;2023-12-23;Dias;Jesus Ltda. Exporters;84713019;Outros computadores portáteis (laptops);Alemanha;Marítimo;Porto de Paranaguá (PR);112403.96;10627.59;1094.07;5.1413;638167.05;107733.19;50482.37;13401.51;61583.12;Verde
202400093;2024-11-23;2024-12-03;Carvalho Teixeira Ltda.;Souza Exporters;87089990;Outras partes e acessórios para veículos;Coreia do Sul;Marítimo;Porto de Paranaguá (PR);101731.75;5841.44;1273.24;5.3054;577473.85;79296.57;51156.87;12126.95;55726.23;Verde
202400094;2024-02-22;2024-03-07;Abreu;Guerra Pinto - EI Exporters;87089990;Outras partes e acessórios para veículos;México;Marítimo;Aeroporto do Galeão (RJ);15143.08;1017.06;101.59;4.8409;78721.41;9115.85;4878.61;1653.15;7596.62;Verde
202400095;2024-12-19;2025-01-03;Souza;Abreu da Cunha e Filhos Exporters;30049099;Outros medicamentos;China;Aéreo;Porto de Itajaí (SC);49517.06;7220.88;681.37;5.1385;295049.12;40182.71;31454.29;6196.03;28472.24;Verde
202400096;2025-07-04;2025-07-23;Pires;Mendonça Rios S.A. Exporters;62044200;Vestidos de algodão;Japão;Aéreo;Porto de Itajaí (SC);69981.23;7921.13;837.51;5.1412;404817.42;45961.11;23196.36;8501.17;39064.88;Verde
202400097;2025-02-14;2025-02-25;das Neves - ME;Fernandes Dias S/A Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Japão;Marítimo;Porto de Paranaguá (PR);144433.14;12829.64;882.51;5.0942;805623.74;91285.21;45274.19;16918.10;77742.69;Verde
202400098;2024-07-06;2024-07-19;Lima;Dias - ME Exporters;84713019;Outros computadores portáteis (laptops);México;Rodoviário;Aeroporto de Guarulhos (SP);120731.90;11394.80;2187.27;4.9058;658917.47;72872.96;67128.70;13837.27;63585.54;Amarelo
202400099;2024-03-13;2024-03-25;Cirino Caldeira Ltda.;Ribeiro Exporters;87089990;Outras partes e acessórios para veículos;China;Aéreo;Aeroporto do Galeão (RJ);28978.07;3488.45;572.39;5.2650;173949.86;29434.74;14431.33;3652.95;16786.16;Verde
202400100;2025-07-03;2025-07-06;da Cunha Leão e Filhos;da Mata S.A. Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;México;Rodoviário;Fronteira de Foz do Iguaçu (PR);21243.31;2368.26;389.22;4.8664;116797.44;17740.09;13832.83;2452.75;11270.95;Amarelo
202400101;2023-10-09;2023-10-15;Almeida;da Paz Exporters;39269090;Outras obras de plástico;Índia;Rodoviário;Porto de Santos (SP);82677.29;8140.13;706.16;5.2099;476828.70;56022.11;46203.94;10013.40;46013.97;Vermelho
202400102;2024-12-14;2024-12-30;Vieira;Sampaio S.A. Exporters;39269090;Outras obras de plástico;China;Aéreo;Porto de Santos (SP);19662.22;1340.37;264.71;4.9581;105445.40;14264.63;12100.66;2214.35;10175.48;Verde
202400103;2024-01-18;2024-01-28;Novaes - ME;Vieira - ME Exporters;87089990;Outras partes e acessórios para veículos;Estados Unidos;Marítimo;Porto de Paranaguá (PR);101653.16;9382.80;1612.91;5.2750;594222.79;63692.06;39760.08;12478.68;57342.50;Verde
